Index,Song Name,Streams,Artist,Genre,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Valence,Release Year,Duration (minutes),artist,song,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,genre
91,Someone To You,5054881.0,BANNERS,Rock,79.0,45.0,93.0,74.0,2.0,1.0,25.0,74.988,65.0,2019.0,3.66,,,,,,,,,,,,,,,,
92,To the Bone,5052557.0,Pamungkas,Pop,81.0,62.0,73.0,70.0,0.0,52.0,9.0,139.991,96.0,2019.0,5.74,,,,,,,,,,,,,,,,
93,ROXANNE,5124742.0,Arizona Zervas,Pop,82.0,57.0,60.0,73.0,14.0,5.0,47.0,116.735,45.0,2019.0,2.73,,,,,,,,,,,,,,,,
94,Sofia,4982892.0,Clairo,Pop,81.0,72.0,62.0,58.0,2.0,60.0,22.0,112.997,64.0,2019.0,3.14,,,,,,,,,,,,,,,,
95,Callaita,4350496.0,"Bad Bunny, Tainy",Reggae,81.0,55.0,62.0,76.0,33.0,61.0,24.0,176.169,22.0,2019.0,4.18,,,,,,,,,,,,,,,,
96,If I Can't Have You,4364166.0,Shawn Mendes,Pop,76.0,65.0,82.0,79.0,4.0,53.0,14.0,123.911,88.0,2019.0,3.18,,,,,,,,,,,,,,,,
97,Fantasias,4432324.0,"Rauw Alejandro, Farruko",Pop,75.0,88.0,71.0,79.0,5.0,14.0,4.0,94.004,80.0,2019.0,3.33,,,,,,,,,,,,,,,,
98,I Don't Care (with Justin Bieber),4984399.0,Ed Sheeran,Pop,80.0,78.0,68.0,75.0,2.0,9.0,7.0,101.956,86.0,2019.0,3.67,,,,,,,,,,,,,,,,
99,My Oh My (feat. DaBaby),4413457.0,Camila Cabello,Electronic,78.0,69.0,48.0,72.0,1.0,2.0,7.0,105.046,37.0,2019.0,2.85,,,,,,,,,,,,,,,,
100,Vete,4486408.0,Bad Bunny,Reggae,78.0,89.0,67.0,78.0,19.0,4.0,9.0,91.976,52.0,2019.0,3.2,,,,,,,,,,,,,,,,
101,ily (i love you baby) (feat. Emilee),4908929.0,Surf Mesa,Electronic,81.0,63.0,79.0,66.0,8.0,7.0,40.0,112.05,31.0,2019.0,2.94,,,,,,,,,,,,,,,,
102,Make You Mine,4356213.0,PUBLIC,Rock,77.0,55.0,81.0,78.0,0.0,1.0,14.0,103.014,64.0,2019.0,3.88,,,,,,,,,,,,,,,,
103,Sigues Con El,4485060.0,"Dímelo Flow, Arcangel, Sech",Reggae,75.0,88.0,67.0,83.0,10.0,11.0,6.0,87.972,68.0,2019.0,3.78,,,,,,,,,,,,,,,,
104,Piece Of Your Heart,4422905.0,"MEDUZA, Goodboys",Electronic,79.0,63.0,75.0,69.0,1.0,4.0,6.0,124.08,63.0,2019.0,2.55,,,,,,,,,,,,,,,,
105,Lights Up,4325411.0,Harry Styles,Pop,75.0,51.0,62.0,64.0,1.0,4.0,13.0,101.987,25.0,2019.0,2.87,,,,,,,,,,,,,,,,
106,Kill This Love,4341050.0,BLACKPINK,Pop,76.0,74.0,85.0,75.0,19.0,33.0,22.0,131.875,65.0,2019.0,3.18,,,,,,,,,,,,,,,,
107,Money In The Grave (Drake ft. Rick Ross),4403348.0,Drake,Rock,78.0,82.0,49.0,79.0,3.0,10.0,11.0,100.541,7.0,2019.0,3.42,,,,,,,,,,,,,,,,
108,Sucker,4543863.0,Jonas Brothers,Rock,81.0,83.0,74.0,75.0,4.0,4.0,9.0,137.958,97.0,2019.0,3.02,,,,,,,,,,,,,,,,
109,El Efecto - Remix,4433384.0,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex",Pop,73.0,75.0,78.0,81.0,5.0,18.0,35.0,167.969,95.0,2019.0,4.83,,,,,,,,,,,,,,,,
110,No Me Conoce - Remix,4501188.0,"Jhay Cortez, J Balvin, Bad Bunny",Reggae,77.0,79.0,80.0,80.0,6.0,15.0,8.0,91.973,58.0,2019.0,5.15,,,,,,,,,,,,,,,,
111,Sunday Best,4858392.0,Surfaces,Pop,80.0,88.0,51.0,69.0,4.0,18.0,5.0,112.022,70.0,2019.0,2.64,,,,,,,,,,,,,,,,
112,Lose Control,4516053.0,"MEDUZA, Becky Hill, Goodboys",Electronic,82.0,54.0,52.0,62.0,2.0,13.0,13.0,123.935,52.0,2019.0,2.81,,,,,,,,,,,,,,,,
113,Investe Em Mim,5191001.0,Jonas Esticado,Pop,72.0,58.0,98.0,90.0,1.0,32.0,11.0,160.061,81.0,2019.0,3.11,,,,,,,,,,,,,,,,
114,Like It's Christmas,9167304.0,Jonas Brothers,Rock,47.0,69.0,56.0,72.0,9.0,2.0,3.0,146.035,61.0,2019.0,3.35,,,,,,,,,,,,,,,,
115,Lalala,4541965.0,"Y2K, bbno$",Pop,77.0,83.0,37.0,65.0,7.0,18.0,12.0,129.972,49.0,2019.0,2.68,,,,,,,,,,,,,,,,
116,This City,4597406.0,Sam Fischer,Pop,80.0,55.0,35.0,71.0,2.0,74.0,6.0,73.877,51.0,2019.0,3.25,,,,,,,,,,,,,,,,
117,"All I Want - From ""High School Musical: The Musical: The Series""",5052801.0,Olivia Rodrigo,Pop,76.0,27.0,41.0,70.0,1.0,9.0,8.0,77.599,10.0,2019.0,2.96,,,,,,,,,,,,,,,,
118,wish you were gay,5187997.0,Billie Eilish,"Electronic, Pop",76.0,85.0,32.0,56.0,25.0,39.0,78.0,118.028,26.0,2019.0,3.69,,,,,,,,,,,,,,,,
119,feel something,5463424.0,Bea Miller,Electronic,75.0,71.0,39.0,61.0,6.0,24.0,32.0,136.029,13.0,2019.0,3.0,,,,,,,,,,,,,,,,
120,Panini,4867723.0,Lil Nas X,Rock,74.0,67.0,59.0,71.0,6.0,35.0,11.0,153.848,47.0,2019.0,1.91,,,,,,,,,,,,,,,,
121,WHAT TO DO? (feat. Don Toliver),5586351.0,"JACKBOYS, Travis Scott",Hip Hop,70.0,59.0,59.0,75.0,1.0,7.0,10.0,118.037,17.0,2019.0,4.17,,,,,,,,,,,,,,,,
122,The London (feat. J. Cole & Travis Scott),4791732.0,"J. Cole, Young Thug",Rock,72.0,78.0,58.0,68.0,14.0,2.0,12.0,97.981,16.0,2019.0,3.34,,,,,,,,,,,,,,,,
123,VALENTINO,4935492.0,24kGoldn,Hip Hop,74.0,72.0,72.0,76.0,18.0,20.0,12.0,150.964,52.0,2019.0,2.99,,,,,,,,,,,,,,,,
124,Roller,4732292.0,Apache 207,Rock,70.0,95.0,77.0,70.0,17.0,3.0,18.0,128.017,69.0,2019.0,2.62,,,,,,,,,,,,,,,,
125,Never Really Over,4679948.0,Katy Perry,Pop,74.0,75.0,90.0,76.0,4.0,20.0,31.0,99.991,37.0,2019.0,3.73,,,,,,,,,,,,,,,,
126,Otro Trago - Remix,4803294.0,"Sech, Ozuna, Anuel AA, Darell, Nicky Jam",Reggae,74.0,69.0,80.0,86.0,20.0,7.0,4.0,175.988,77.0,2019.0,4.8,,,,,,,,,,,,,,,,
127,Fantasía,4543012.0,Ozuna,Reggae,59.0,66.0,73.0,72.0,8.0,23.0,7.0,180.074,79.0,2019.0,2.92,,,,,,,,,,,,,,,,
128,Trampoline,8896030.0,"SHAED, ZAYN",Electronic,73.0,57.0,44.0,73.0,1.0,57.0,12.0,126.803,49.0,2019.0,3.07,,,,,,,,,,,,,,,,
129,MIDDLE CHILD,4836113.0,J. Cole,Rock,79.0,83.0,34.0,50.0,29.0,15.0,27.0,123.984,46.0,2019.0,3.56,,,,,,,,,,,,,,,,
130,double take,6539852.0,dhruv,Pop,86.0,62.0,41.0,52.0,5.0,84.0,24.0,109.075,20.0,2019.0,2.86,,,,,,,,,,,,,,,,
131,Streets,6502302.0,Doja Cat,Pop,86.0,72.0,45.0,63.0,7.0,21.0,34.0,90.035,17.0,2019.0,3.78,,,,,,,,,,,,,,,,
132,GATTI,7685470.0,"JACKBOYS, Pop Smoke, Travis Scott",Hip Hop,77.0,53.0,68.0,73.0,37.0,14.0,15.0,143.477,46.0,2019.0,3.02,,,,,,,,,,,,,,,,
133,Hot (Remix) [feat. Gunna and Travis Scott],4905155.0,"Travis Scott, Young Thug",Rock,68.0,84.0,63.0,64.0,22.0,19.0,6.0,111.983,54.0,2019.0,4.67,,,,,,,,,,,,,,,,
134,Señorita,6317487.0,"Shawn Mendes, Camila Cabello",Pop,82.0,73.0,53.0,72.0,1.0,4.0,8.0,116.947,76.0,2019.0,3.18,,,,,,,,,,,,,,,,
135,JACKBOYS,5363493.0,JACKBOYS,Hip Hop,56.0,32.0,8.0,0.0,1.0,91.0,10.0,123.342,4.0,2019.0,0.78,,,,,,,,,,,,,,,,
136,Talk (feat. Disclosure),4940984.0,Khalid,Pop,73.0,90.0,38.0,62.0,12.0,5.0,4.0,135.984,33.0,2019.0,3.29,,,,,,,,,,,,,,,,
137,Someone You Loved,8490162.0,Lewis Capaldi,Pop,86.0,42.0,38.0,73.0,1.0,76.0,9.0,109.891,44.0,2019.0,3.04,,,,,,,,,,,,,,,,
138,Only Human,4953866.0,Jonas Brothers,Rock,74.0,78.0,48.0,72.0,6.0,11.0,5.0,94.01,89.0,2019.0,3.05,,,,,,,,,,,,,,,,
139,Con Altura,4961249.0,"ROSALÍA, J Balvin, El Guincho",Pop,75.0,88.0,69.0,79.0,12.0,39.0,3.0,97.963,75.0,2019.0,2.69,,,,,,,,,,,,,,,,
140,Post Malone (feat. RANI),4855270.0,Sam Feldt,Electronic,73.0,53.0,64.0,80.0,11.0,8.0,9.0,107.356,65.0,2019.0,2.91,,,,,,,,,,,,,,,,
141,Had Enough (feat. Quavo & Offset),5748010.0,Don Toliver,Hip Hop,66.0,72.0,80.0,77.0,10.0,26.0,12.0,147.957,68.0,2019.0,2.62,,,,,,,,,,,,,,,,
142,GANG GANG,5898484.0,"JACKBOYS, Sheck Wes",Hip Hop,69.0,85.0,60.0,77.0,32.0,7.0,35.0,123.017,57.0,2019.0,4.08,,,,,,,,,,,,,,,,
143,11 PM,4891989.0,Maluma,Reggae,76.0,76.0,72.0,76.0,29.0,22.0,8.0,95.692,68.0,2019.0,2.93,,,,,,,,,,,,,,,,
